,index,Recipients,Padma Shri State,Padma Shri Field,Padma Shri Awarded By,Padma Bhushan State,Padma Bhushan Field,Padma Bhushan Awarded By,Padma Vibhushan State,Padma Vibhushan Field,Padma Vibhushan Awarded By
24,24,Abdul Halim Jaffer Khan,Maharashtra,Arts,V. V. Giri,Maharashtra,Arts,A. P. J. Abdul Kalam,,,
25,25,Abdul Jabbar Khan,"Madhya Pradesh, India",Social Work,Ram Nath Kovind,,,,,,
26,26,Abdul Karim Parekh,,,,"Maharashtra, India",Social Work,K. R. Narayanan,,,
27,27,Abdul Latif Khan,"Madhya Pradesh, India",Arts,K. R. Narayanan,,,,,,
28,28,Abdul Rashid Khan,,,,"West Bengal, India",Arts,Pranab Mukherjee,,,
29,29,Abhay Chhajlani,"Madhya Pradesh, India",Literature and Education,Pratibha Patil,,,,,,
30,30,Abhay and Rani Bang,"Maharashtra, India",Medicine,Ram Nath Kovind,,,,,,
31,31,Abhijit Sen,,,,Delhi/India,Public Affairs,Pratibha Patil,,,
32,32,Abhinav Bindra,,,,"Punjab, India",Sports,Pratibha Patil,,,
33,33,Abhiraj Rajendra Mishra,"Himachal Pradesh, India",Literature and Education,Ram Nath Kovind,,,,,,
34,34,Abid Hussain,,,,Delhi,Civil Service,R. Venkataraman,,,
35,35,Achamma Mathai,"Maharashtra, India",Public Affairs,Rajendra Prasad,,,,,,
36,36,Acharya Kakasaheb Kalelkar,,,,,,,"Maharashtra, India",Literature and Education,Sarvepalli Radhakrishnan
37,37,Acharya Ramamurti,"Bihar, India",Social Work,K. R. Narayanan,,,,,,
38,38,Acharya Shivpujan Sahay,,,,"Bihar, India",Literature and Education,Rajendra Prasad,,,
39,39,Acharya Vishva Bandhu,,,,"Uttar Pradesh, India",Literature and Education,Zakir Husain (politician),,,
40,40,Achyut Madhav Gokhale,Delhi/India,Civil Service,R. Venkataraman,,,,,,
41,41,Achyut Purushottam Kanvinde,Delhi/India,Science and Engineering,V. V. Giri,,,,,,
42,42,Adarsh Sein Anand,,,,,,,"Uttar Pradesh, India",Public Affairs,Pratibha Patil
43,43,Adi Godrej,,,,"Maharashtra, India",Trade and Industry,Pranab Mukherjee,,,
44,44,Adi M. Sethna,,,,Delhi/India,Civil Service,Zail Singh,,,
45,45,Adi Pherozeshah Marzban,"Maharashtra, India",Arts,Sarvepalli Radhakrishnan,,,,,,
46,46,Adinath Lahiri,West Bengal,Trade and Industry,Rajendra Prasad,West Bengal,Science and Engineering,Zakir Husain (politician),,,
47,47,Aditya Narayan Purohit,"Uttarakhand, India",Science and Engineering,K. R. Narayanan,,,,,,
48,48,Aditya Nath Jha,,,,,,,"Uttar Pradesh, India",Public Affairs,V. V. Giri
49,49,Adnan Sami,"Maharashtra, India",Arts,Ram Nath Kovind,,,,,,
50,50,Adoor Gopalakrishnan,Kerala,Arts,Zail Singh,,,,Kerala,Arts,A. P. J. Abdul Kalam
51,51,Adya Rangacharya,,,,"Karnataka, India",Literature and Education,V. V. Giri,,,
52,52,Adyar K. Lakshman,"Tamil Nadu, India",Arts,R. Venkataraman,,,,,,
53,53,Agus Indra Udayana,,Social Work,Ram Nath Kovind,,,,,,
54,54,Ahalya Chari,"Tamil Nadu, India",Literature and Education,Zail Singh,,,,,,
55,55,Ahindra Choudhury,"West Bengal, India",Literature and Education,Sarvepalli Radhakrishnan,,,,,,
56,56,Ahmed Jan Thirakwa,,,,"Uttar Pradesh, India",Arts,V. V. Giri,,,
57,57,Ajai Chowdhry,,,,Delhi/India,Trade and Industry,Pratibha Patil,,,
58,58,Ajay K. Sood,"Karnataka, India",Science and Engineering,Pranab Mukherjee,,,,,,
59,59,Ajay Kumar Parida,"Tamil Nadu, India",Science and Engineering,Pranab Mukherjee,,,,,,
60,60,Ajay Thakur,"Himachal Pradesh, India",Sports,Ram Nath Kovind,,,,,,
61,61,Ajeet Bajaj,"Haryana, India",Sports,Pratibha Patil,,,,,,
62,62,Ajit Chandra Chatterjee,"West Bengal, India",Civil Service,Fakhruddin Ali Ahmed,,,,,,
63,63,Ajit Kumar Basu,"West Bengal, India",Medicine,V. V. Giri,,,,,,
64,64,Ajit Pal Singh,Delhi/India,Sports,R. Venkataraman,,,,,,
65,65,Ajit Ram Verma,,,,Delhi/India,Science and Engineering,Neelam Sanjiva Reddy,,,
66,66,Ajit Wadekar,"Maharashtra, India",Sports,V. V. Giri,,,,,,
67,67,Ajoy Chakrabarty,West Bengal,Arts,Pratibha Patil,West Bengal,Arts,Ram Nath Kovind,,,
68,68,Ajoy Kumar Dutta,"Assam, India",Social Work,Pranab Mukherjee,,,,,,
69,69,Ajoy Kumar Mukherjee,,,,,,,"West Bengal, India",Public Affairs,Fakhruddin Ali Ahmed
70,70,Ajudhiya Nath Khosla,,,,Delhi/India,Science and Engineering,Rajendra Prasad,,,
71,71,Akbar Ali Khan,,,,"Andhra Pradesh, India",Public Affairs,Sarvepalli Radhakrishnan,,,
72,72,Akbar Padamsee,,,,"Maharashtra, India",Arts,Pratibha Patil,,,
73,73,Akhlaqur Rahman Kidwai,,,,,,,Delhi/India,Public Affairs,Pratibha Patil
74,74,Akhtar Mohiuddin,Jammu & Kashmir/India,Literature and Education,Zakir Husain (politician),,,,,,
75,75,Akhtarul Wasey,Delhi/India,Literature and Education,Pranab Mukherjee,,,,,,
76,76,Akkineni Nageswara Rao,Andhra Pradesh,Arts,Zakir Husain (politician),Andhra Pradesh,Arts,R. Venkataraman,Andhra Pradesh,Arts,Pratibha Patil
77,77,Akkitham Achuthan Namboothiri,"Kerala, India",Literature and Education,Pranab Mukherjee,,,,,,
78,78,Akshay Kumar,"Maharashtra, India",Arts,Pratibha Patil,,,,,,
79,79,Akshay Kumar Jain,,,,Delhi/India,Literature and Education,Sarvepalli Radhakrishnan,,,
80,80,Alagappa Chettiar,,,,"Tamil Nadu, India",Social Work,Rajendra Prasad,,,
81,81,Alaka Keshav Deshpande,"Maharashtra, India",Medicine,K. R. Narayanan,,,,,,
82,82,Alarmel Valli,Tamil Nadu,Arts,R. Venkataraman,Tamil Nadu,Arts,A. P. J. Abdul Kalam,,,
83,83,Ale Ahmad Suroor,,,,"Uttar Pradesh, India",Literature and Education,R. Venkataraman,,,
84,84,Alexander Kadakin,,,,Moldova,Public Affairs,Ram Nath Kovind,,,
85,85,Ali Akbar Khan,,,,West Bengal,Arts,Sarvepalli Radhakrishnan,West Bengal,Arts,R. Venkataraman
86,86,Ali Jawad Zaidi,"Uttar Pradesh, India",Literature and Education,R. Venkataraman,,,,,,
87,87,Ali Manikfan,Lakshadweep/India,Grassroots Innovation,Ram Nath Kovind,,,,,,
88,88,Ali Sardar Jafri,"Maharashtra, India",Literature and Education,Sarvepalli Radhakrishnan,,,,,,
89,89,Ali Yavar Jung,,,,Maharashtra,Civil Service,Rajendra Prasad,Andhra Pradesh,Public Affairs,Fakhruddin Ali Ahmed
90,90,Alice Boner,,,,,Arts,V. V. Giri,,,
91,91,Alka Kriplani,Delhi/India,Medicine,Pranab Mukherjee,,,,,,
92,92,Alla Rakha,Jammu & Kashmir/India,Arts,Fakhruddin Ali Ahmed,,,,,,
93,93,Allah Jilai Bai,"Rajasthan, India",Arts,Neelam Sanjiva Reddy,,,,,,
94,94,Allauddin Khan,,,,Uttar Pradesh,Arts,Rajendra Prasad,West Bengal,Arts,V. V. Giri
95,95,Alluri Venkata Satyanarayana Raju,"Andhra Pradesh, India",Trade and Industry,Pratibha Patil,,,,,,
96,96,Alok Mehta,Delhi/India,Literature and Education,Pratibha Patil,,,,,,
97,97,Aloysius Prakash Fernandez,"Karnataka, India",Others,K. R. Narayanan,,,,,,
98,98,Alyque Padamsee,"Maharashtra, India",Arts,K. R. Narayanan,,,,,,
99,99,Amalprava Das,"Assam, India",Public Affairs,Rajendra Prasad,,,,,,
100,100,Amarnath Jha,,,,"Uttar Pradesh, India",Literature and Education,Rajendra Prasad,,,
101,101,Amarnath Sehgal,,,,Delhi/India,Arts,Pratibha Patil,,,
102,102,Ambrish Mithal,,,,Delhi/India,Medicine,Pranab Mukherjee,,,
103,103,Ameen Sayani,"Maharashtra, India",Others,Pratibha Patil,,,,,,
104,104,Ameena Ahmad Ahuja,Delhi/India,Arts,Pratibha Patil,,,,,,
105,105,Amin Kamil,Jammu & Kashmir/India,Literature and Education,A. P. J. Abdul Kalam,,,,,,
106,106,Ustad Amir Khan,,,,"Maharashtra, India",Arts,V. V. Giri,,,
107,107,Amit Mitra,Delhi/India,Trade and Industry,Pratibha Patil,,,,,,
108,108,Amit Prabhakar Maydeo,"Maharashtra, India",Medicine,Pranab Mukherjee,,,,,,
109,109,Amitabh Bachchan,Maharashtra,Arts,Zail Singh,Maharashtra,Arts,K. R. Narayanan,Maharashtra,Arts,Pranab Mukherjee
110,110,Amitabh Mattoo,Jammu & Kashmir/India,Literature and Education,Pratibha Patil,,,,,,
111,111,Amitav Ghosh,Bahrain,Literature and Education,A. P. J. Abdul Kalam,,,,,,
112,112,Amitava Roy,"West Bengal, India",Science and Engineering,Ram Nath Kovind,,,,,,
113,113,Amiya Chakravarty,,,,"West Bengal, India",Literature and Education,V. V. Giri,,,
114,114,Amiya Kumar Bagchi,"West Bengal, India",Literature and Education,A. P. J. Abdul Kalam,,,,,,
115,115,Amjad Ali Khan,Delhi,Arts,Fakhruddin Ali Ahmed,Delhi,Arts,R. Venkataraman,Delhi,Arts,K. R. Narayanan
116,116,Ammannur Madhava Chakyar,Kerala,Arts,Neelam Sanjiva Reddy,Kerala,Arts,A. P. J. Abdul Kalam,,,
117,117,Amod Gupta,"Haryana, India",Medicine,Pranab Mukherjee,,,,,,
118,118,Amrik Singh Cheema,"Punjab, India",Science and Engineering,Zakir Husain (politician),,,,,,
119,119,Amrit Tewari,Chandigarh/India,Medicine,R. Venkataraman,,,,,,
120,120,Amrita Patel,,,,"Gujarat, India",Trade and Industry,K. R. Narayanan,,,
121,121,Amrita Pritam,Delhi,Literature and Education,Zakir Husain (politician),,,,Delhi,Literature and Education,A. P. J. Abdul Kalam
122,122,Amritlal Nagar,,,,"Uttar Pradesh, India",Literature and Education,Neelam Sanjiva Reddy,,,
123,123,Amrta Suryananda Maha Raja,Portugal,Others,Pranab Mukherjee,,,,,,
124,124,Analjit Singh,,,,Delhi/India,Trade and Industry,Pratibha Patil,,,
125,125,Anand Mahindra,,,,"Maharashtra, India",Trade and Industry,Ram Nath Kovind,,,
126,126,Ananda Chandra Barua,"Assam, India",Literature and Education,V. V. Giri,,,,,,
127,127,Ananda Mohan Chakrabarty,Bahrain,Science and Engineering,A. P. J. Abdul Kalam,,,,,,
128,128,Ananda Shankar Jayant,"Andhra Pradesh, India",Arts,A. P. J. Abdul Kalam,,,,,,
129,129,Anandji Virji Shah,"Maharashtra, India",Arts,R. Venkataraman,,,,,,
130,130,Anant Agarwal,United States,Literature and Education,Pranab Mukherjee,,,,,,
131,131,Anant Darshan Shankar,"Karnataka, India",Public Affairs,Pratibha Patil,,,,,,
132,132,Anant Kanekar,"Maharashtra, India",Literature and Education,Sarvepalli Radhakrishnan,,,,,,
133,133,Anant alias Annasaheb Sahasrabuddhe,,,,"Maharashtra, India",Social Work,V. V. Giri,,,
134,134,Andal Venkatasubba Rao,,,,"Andhra Pradesh, India",Social Work,Rajendra Prasad,,,
135,135,Andre Beteille,,,,Delhi/India,Literature and Education,A. P. J. Abdul Kalam,,,
136,136,Anerood Jugnauth,,,,,,,,Public Affairs,Ram Nath Kovind
137,137,Anil Agarwal,Delhi/India,Literature and Education,Zail Singh,Delhi/India,Others,K. R. Narayanan,,,
138,138,Anil Bordia,,,,"Rajasthan, India",Literature and Education,Pratibha Patil,,,
139,139,Anil Kakodkar,Maharashtra,Science and Engineering,K. R. Narayanan,Maharashtra,Science and Engineering,K. R. Narayanan,Maharashtra,Science and Engineering,Pratibha Patil
140,140,Anil Kohli,Delhi,Medicine,R. Venkataraman,Delhi,Medicine,A. P. J. Abdul Kalam,,,
141,141,Anil Kumar Bhalla,Delhi/India,Medicine,Pratibha Patil,,,,,,
142,142,Anil Kumar Gupta,"Gujarat, India",Literature and Education,A. P. J. Abdul Kalam,,,,,,
143,143,Anil Kumar Lakhina,"Maharashtra, India",Civil Service,Zail Singh,,,,,,
144,144,Anil Kumari Malhotra,Delhi/India,Medicine,Pranab Mukherjee,,,,,,
145,145,Anil Kumble,"Karnataka, India",Sports,A. P. J. Abdul Kalam,,,,,,
146,146,Anil Prakash Joshi,Uttarakhand,Social Work,A. P. J. Abdul Kalam,Uttarakhand,Social Work,Ram Nath Kovind,,,
147,147,Anish Kapoor,,,,"Maharashtra, India",Arts,Pratibha Patil,,,
148,148,Anisuzzaman,,,,"West Bengal, India",Literature and Education,Pranab Mukherjee,,,
149,149,Anita Desai,Delhi,Literature and Education,R. Venkataraman,Delhi,Literature and Education,Pranab Mukherjee,,,
150,150,Anita Reddy,"Karnataka, India",Social Work,Pratibha Patil,,,,,,
151,151,Anjolie Ela Menon,Delhi/India,Arts,K. R. Narayanan,,,,,,
152,152,Anju Bobby George,"Kerala, India",Sports,A. P. J. Abdul Kalam,,,,,,
153,153,Anjum Chopra,Delhi/India,Sports,Pranab Mukherjee,,,,,,
154,154,Anna Hazare,Maharashtra,Social Work,R. Venkataraman,Maharashtra,Social Work,R. Venkataraman,,,
155,155,Anna Rajam Malhotra,,,,"Maharashtra, India",Civil Service,R. Venkataraman,,,
156,156,Annada Shankar Ray,,,,"West Bengal, India",Literature and Education,Zail Singh,,,
157,157,Annapurna Ravi Shankar,,,,"Uttar Pradesh, India",Arts,Fakhruddin Ali Ahmed,,,
158,158,Annavarapu Rama Swamy,"Andhra Pradesh, India",Arts,Ram Nath Kovind,,,,,,
159,159,Annette Schmiedchen,Germany,Literature and Education,Pranab Mukherjee,,,,,,
160,160,Anoop Misra,Delhi/India,Medicine,A. P. J. Abdul Kalam,,,,,,
161,161,Anshu Jamsenpa,Arunachal Pradesh,Sports,Ram Nath Kovind,,,,,,
162,162,Anthony Lancelot Dias,,,,,,,"Maharashtra, India",Public Affairs,V. V. Giri
163,163,Antony Padiyara,"Kerala, India",Social Work,K. R. Narayanan,,,,,,
164,164,Anu Aga,"Maharashtra, India",Social Work,Pratibha Patil,,,,,,
165,165,Anukul Chandra Mukherjee,,,,"Uttar Pradesh, India",Literature and Education,Sarvepalli Radhakrishnan,,,
166,166,Anumolu Ramakrishna,,,,"Andhra Pradesh, India",Science and Engineering,Pranab Mukherjee,,,
167,167,Anup Jalota,"Maharashtra, India",Arts,Pratibha Patil,,,,,,
168,168,Anupam Kher,Maharashtra,Arts,A. P. J. Abdul Kalam,Maharashtra,Arts,Pranab Mukherjee,,,
169,169,Anupama Gokhale,"Maharashtra, India",Sports,Zail Singh,,,,,,
170,170,Anuradha Koirala,Nepal,Social Work,Pranab Mukherjee,,,,,,
171,171,Anuradha Paudwal,"Maharashtra, India",Arts,Pranab Mukherjee,,,,,,
172,172,Anutai Wagh,"Maharashtra, India",Social Work,Zail Singh,,,,,,
173,173,Anvita Abbi,Delhi/India,Literature and Education,Pranab Mukherjee,,,,,,
174,174,Anwar Jalalpuri,"Uttar Pradesh, India",Literature and Education,Ram Nath Kovind,,,,,,
175,175,Aparna Sen,"West Bengal, India",Arts,Zail Singh,,,,,,
176,176,Appasaheb Dharmadhikari,"Maharashtra, India",Social Work,Pranab Mukherjee,,,,,,
177,177,Apurba Kishore Bir,"Maharashtra, India",Arts,Pranab Mukherjee,,,,,,
178,178,Arathil C. Narayanan Nambiar,,,,"Kerala, India",Civil Service,Rajendra Prasad,,,
179,179,Arati Saha,"West Bengal, India",Sports,Rajendra Prasad,,,,,,
180,180,Archana Sharma,,,,"West Bengal, India",Medicine,Zail Singh,,,
181,181,Arcot Ramachandran,,,,"Karnataka, India",Science and Engineering,A. P. J. Abdul Kalam,,,
182,182,Ardeshir Ruttonji Wadia,,,,"Maharashtra, India",Literature and Education,Rajendra Prasad,,,
183,183,Aribam Syam Sharma,"Manipur, India",Arts,A. P. J. Abdul Kalam,,,,,,
184,184,Ariyakudi Ramanuja Iyengar,,,,"Tamil Nadu, India",Arts,Rajendra Prasad,,,
185,185,Arjan Singh,Uttar Pradesh,Civil Service,Fakhruddin Ali Ahmed,,,,Delhi,Civil Service,Sarvepalli Radhakrishnan
186,186,Arjun Prajapati,"Rajasthan, India",Arts,Pratibha Patil,,,,,,
187,187,Arjunan Rajasekaran,"Tamil Nadu, India",Medicine,Pratibha Patil,,,,,,
188,188,Arogyaswami Paulraj,,,,"Pollachi,Tamil Nadu",Science and Engineering,Pratibha Patil,,,
189,189,Aroon Purie,,,,Delhi/India,Literature and Education,K. R. Narayanan,,,
190,190,Arpita Singh,,,,Delhi/India,Arts,Pratibha Patil,,,
191,191,Artaballabha Mohanty,"Odisha, India",Literature and Education,Rajendra Prasad,,,,,,
192,192,Arun Hastimal Firodia,"Maharashtra, India",Trade and Industry,Pratibha Patil,,,,,,
193,193,Arun Jaitley,,,,,,,Delhi/India,Public Affairs,Ram Nath Kovind
194,194,Arun Kumar Sharma,Chhattisgarh,Others,Pranab Mukherjee,Delhi,Science and Engineering,Zail Singh,,,
195,195,Arun Netravali,,,,"Maharashtra, India",Science and Engineering,K. R. Narayanan,,,
196,196,Arun Shourie,,,,Delhi/India,Literature and Education,R. Venkataraman,,,
197,197,Arun Shridhar Vaidya,,,,,,,"Maharashtra, India",Civil Service,Zail Singh
198,198,Aruna Asaf Ali,,,,,,,Delhi/India,Public Affairs,R. Venkataraman
199,199,Aruna Mohanty,"Odisha, India",Arts,Pranab Mukherjee,,,,,,
200,200,Aruna Sairam,"Tamil Nadu, India",Arts,Pratibha Patil,,,,,,
201,201,Arunachala Sreenivasan,,,,"Karnataka, India",Science and Engineering,V. V. Giri,,,
202,202,Arunachalam Muruganantham,"Tamil Nadu, India",Social Work,Pranab Mukherjee,,,,,,
203,203,Arundathi Nag,"Karnataka, India",Arts,Pratibha Patil,,,,,,
204,204,Arunima Sinha,"Uttar Pradesh, India",Sports,Pranab Mukherjee,,,,,,
205,205,Arunoday Mondal,"West Bengal, India",Medicine,Ram Nath Kovind,,,,,,
206,206,Arup Kumar Dutta,"Assam, India",Literature and Education,Ram Nath Kovind,,,,,,
207,207,Arvind Gupta,"Maharashtra, India",Literature and Education,Ram Nath Kovind,,,,,,
208,208,Arvind Kumar,"Maharashtra, India",Literature and Education,Pratibha Patil,,,,,,
209,209,Arvind Lal,Delhi/India,Medicine,Pratibha Patil,,,,,,
210,210,Arvind Panagariya,,,,"Rajasthan, India",Literature and Education,Pratibha Patil,,,
211,211,Arvind Parikh,,,,"Maharashtra, India",Arts,Ram Nath Kovind,,,
212,212,Arvinder Singh Soin,"Uttar Pradesh, India",Medicine,Pratibha Patil,,,,,,
213,213,Asa Singh Mastana,Delhi/India,Arts,Zail Singh,,,,,,
214,214,Asad Ali Khan,,,,Delhi/India,Arts,Pratibha Patil,,,
215,215,Asaf Ali Asghar Fyzee,,,,Jammu & Kashmir/India,Literature and Education,Rajendra Prasad,,,
216,216,Asavadi Prakasarao,"Andhra Pradesh, India",Literature and Education,Ram Nath Kovind,,,,,,
217,217,Asgari Bai,"Madhya Pradesh, India",Arts,R. Venkataraman,,,,,,
218,218,Asha Bhosle,,,,,,,"Maharashtra, India",Arts,Pratibha Patil
219,219,Asha Devi Aryanayakam,"Maharashtra, India",Public Affairs,Rajendra Prasad,,,,,,
220,220,Asha Parekh,"Maharashtra, India",Arts,R. Venkataraman,,,,,,
221,221,Ashangbam Minaketan Singh,"Manipur, India",Literature and Education,Zail Singh,,,,,,
222,222,Ashok Bhagat,"Jharkhand, India",Social Work,Pranab Mukherjee,,,,,,
223,223,Ashok Chakradhar,Delhi/India,Literature and Education,Pranab Mukherjee,,,,,,
224,224,Ashok Desai,,,,Delhi/India,Public Affairs,K. R. Narayanan,,,
225,225,Ashok Gulati,Delhi/India,Literature and Education,Pranab Mukherjee,,,,,,
226,226,Ashok Jhunjhunwala,"Tamil Nadu, India",Science and Engineering,K. R. Narayanan,,,,,,
227,227,Ashok K. Vaid,Delhi/India,Medicine,Pratibha Patil,,,,,,
228,228,Ashok Kumar,Maharashtra,Arts,Rajendra Prasad,Maharashtra,Arts,K. R. Narayanan,,,
229,229,Ashok Kumar Hemal,Delhi/India,Medicine,A. P. J. Abdul Kalam,,,,,,
230,230,Ashok Kumar Mago,United States,Public Affairs,Pranab Mukherjee,,,,,,
231,231,Ashok Kumar Sarkar,,,,"West Bengal, India",Literature and Education,Sarvepalli Radhakrishnan,,,
232,232,Ashok Laxmanrao Kukade,,,,"Maharashtra, India",Medicine,Ram Nath Kovind,,,
233,233,Ashok Malik,Delhi/India,Literature and Education,Pranab Mukherjee,,,,,,
234,234,Ashok Panagariya,"Rajasthan, India",Medicine,Pranab Mukherjee,,,,,,
235,235,Ashok Rajgopal,Delhi/India,Medicine,Pranab Mukherjee,,,,,,
236,236,Ashok Ramchandra Kelkar,"Maharashtra, India",Literature and Education,K. R. Narayanan,,,,,,
237,237,Ashok Sekhar Ganguly,,,,Maharashtra,Trade and Industry,R. Venkataraman,Maharashtra,Trade and Industry,Pratibha Patil
238,238,Ashok Seth,Delhi,Medicine,A. P. J. Abdul Kalam,Delhi,Medicine,Pranab Mukherjee,,,
239,239,Ashoke Sen,Uttar Pradesh,Science and Engineering,K. R. Narayanan,Uttar Pradesh,Science and Engineering,Pranab Mukherjee,,,
240,240,Ashwin Balachand Mehta,"Maharashtra, India",Medicine,A. P. J. Abdul Kalam,,,,,,
241,241,Asifa Zamani,"Uttar Pradesh, India",Literature and Education,A. P. J. Abdul Kalam,,,,,,
242,242,Asima Chatterjee,,,,"West Bengal, India",Science and Engineering,Fakhruddin Ali Ahmed,,,
243,243,Asis Datta,Uttar Pradesh,Science and Engineering,K. R. Narayanan,Delhi,Science and Engineering,Pratibha Patil,,,
244,244,Asok Kumar Barua,"West Bengal, India",Science and Engineering,A. P. J. Abdul Kalam,,,,,,
245,245,Asoke Kumar Bhattacharyya,"West Bengal, India",Others,Pranab Mukherjee,,,,,,
246,246,Aspy Adajania,"Maharashtra, India",Sports,R. Venkataraman,,,,,,
247,247,Astad Deboo,"Maharashtra, India",Arts,A. P. J. Abdul Kalam,,,,,,
248,248,Atal Bihari Vajpayee,,,,,,,Delhi/India,Public Affairs,R. Venkataraman
249,249,Atluri Sriman Narayana,"Andhra Pradesh, India",Medicine,K. R. Narayanan,,,,,,
250,250,Atma Ram,"West Bengal, India",Trade and Industry,Rajendra Prasad,,,,,,
251,251,Atmaram Bhairav Joshi,Delhi/India,Science and Engineering,Fakhruddin Ali Ahmed,,,,,,
252,252,Atmaram Raoji Bhat,"Maharashtra, India",Literature and Education,V. V. Giri,,,,,,
253,253,Attar Singh,Chandigarh/India,Literature and Education,Zail Singh,,,,,,
254,254,Atul Chandra Hazarika,"Assam, India",Literature and Education,V. V. Giri,,,,,,
255,255,Atul Kumar,Delhi/India,Medicine,A. P. J. Abdul Kalam,,,,,,
256,256,Autar Singh Paintal,,,,,,,Delhi/India,Medicine,Zail Singh
257,257,Avabai Bomanji Wadia,Maharashtra,Social Work,V. V. Giri,Maharashtra,Social Work,Neelam Sanjiva Reddy,,,
258,258,Avadhanam Sita Raman,"Tamil Nadu, India",Arts,K. R. Narayanan,,,,,,
259,259,Avdhash Kaushal,"Uttarakhand, India",Social Work,Zail Singh,,,,,,
260,260,Avinash Chander,Delhi/India,Science and Engineering,Pranab Mukherjee,,,,,,
261,261,Avinash Dixit,,,,,,,"Maharashtra, India",Literature and Education,Pranab Mukherjee
262,262,Avinash Vyas,"Maharashtra, India",Arts,V. V. Giri,,,,,,
263,263,Avinder Singh Brar,"Punjab, India",Civil Service,R. Venkataraman,,,,,,
264,264,Avtar Singh Cheema,"Punjab, India",Sports,Sarvepalli Radhakrishnan,,,,,,
265,265,Avvai Natarajan,"Tamil Nadu, India",Literature and Education,Pratibha Patil,,,,,,
266,266,Ayekpam Tomba Meetei,"Manipur, India",Social Work,Pratibha Patil,,,,,,
267,267,Ayodhya Prasad,"Uttar Pradesh, India",Arts,Zakir Husain (politician),,,,,,
268,268,Ayyadevara Kaleswara Rao,,,,"Andhra Pradesh, India",Public Affairs,Rajendra Prasad,,,
269,269,Ayyagari Sambasiva Rao,"Andhra Pradesh, India",Science and Engineering,Rajendra Prasad,"Andhra Pradesh, India",Science and Engineering,V. V. Giri,,,
270,270,Ayyappa Paniker,"Kerala, India",Literature and Education,A. P. J. Abdul Kalam,,,,,,
271,271,Azad Moopen,United Arab Emirates,Social Work,Pratibha Patil,,,,,,
272,272,Azim Premji,,,,Karnataka,Trade and Industry,A. P. J. Abdul Kalam,Karnataka,Trade and Industry,Pratibha Patil
273,273,B. B. Lal,,,,Delhi,Science and Engineering,K. R. Narayanan,Delhi,Others,Ram Nath Kovind
274,274,B. C. Sanyal,,,,"Madhya Pradesh, India",Arts,Zail Singh,,,
